"Manager","MgrCik","Period","CUSIP","Name","Class","PutCall","Value","Shares"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","002824100","ABBOTT LABS","COM","","9476","211000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00287Y109","ABBVIE INC","COM","","441249","7448500"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00448Q201","ACHILLION PHARMACEUTICALS IN","COM","","104122","9649900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00653A107","ADAPTIMMUNE THERAPEUTICS PLC","SPONDS ADR","","5292","438784"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00739L101","ADURO BIOTECH INC","COM","","1688","60000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","007624208","ADVAXIS INC","COM NEW","","6404","636600"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00817Y108","AETNA INC NEW","COM","","7244","67000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","N01045108","AFFIMED N V","COM","","32628","4582616"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00826T108","AFFYMETRIX INC","COM","","75786","7511000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","00846U101","AGILENT TECHNOLOGIES INC","COM","","139060","3326000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","015351109","ALEXION PHARMACEUTICALS INC","COM","","433975","2275100"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","016259103","ALIMERA SCIENCES INC","COM","","3630","1500000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","016259103","ALIMERA SCIENCES INC","COM","Call","484","200000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","G0177J108","ALLERGAN PLC","SHS","","445223","1424715"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","G0177J116","ALLERGAN PLC","PFD CONV SER A","","107221","104200"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","023111206","AMARIN CORP PLC","SPONS ADR NEW","","662","350000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","031162100","AMGEN INC","COM","","474166","2921000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","032420101","ANACOR PHARMACEUTICALS INC","COM","","6021","53300"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","04269X105","ARRAY BIOPHARMA INC","COM","","45108","10689000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","04351P101","ASCENDIS PHARMA A S","SPONSORED ADR","","4071","222223"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","045396108","ASSEMBLY BIOSCIENCES INC","COM","","10492","1397100"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","07177M103","BAXALTA INC","COM","","11124","285000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09062X103","BIOGEN INC","COM","","441910","1442500"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09071M106","BIOLINERX LTD","SPONSORED ADR","","1350","1038600"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09061G101","BIOMARIN PHARMACEUTICAL INC","COM","","15609","149000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09061GAE1","BIOMARIN PHARMACEUTICAL INC","NOTE 0.750%10/1","","645","500000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09061GAF8","BIOMARIN PHARMACEUTICAL INC","NOTE 1.500%10/1","","672","500000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09074D103","BIOTIE THERAPIES OYJ","SPONSORED ADR","","3855","268672"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","09609G100","BLUEBIRD BIO INC","COM","","60476","941700"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","101137107","BOSTON SCIENTIFIC CORP","COM","","450506","24430900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","110122108","BRISTOL MYERS SQUIBB CO","COM","","577492","8395000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","14149Y108","CARDINAL HEALTH INC","COM","","13033","146000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","151020104","CELGENE CORP","COM","","438974","3665450"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","15117K103","CELLECTIS S A","SPONSORED ADS","","10861","350000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","157085101","CERUS CORP","COM","","41108","6504400"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","125509109","CIGNA CORPORATION","COM","","41265","282000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","189464100","CLOVIS ONCOLOGY INC","COM","","25536","729600"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","19243A104","COGENTIX MED INC","COM","","1278","990745"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","203668108","COMMUNITY HEALTH SYS INC NEW","COM","","89730","3382200"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","20786J106","CONNECTURE INC","COM","","6281","1740000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","216648402","COOPER COS INC","COM NEW","","122780","914900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","23257Y859","CYNAPSUS THERAPEUTICS INC","COM PAR NO PAR","","17604","1140325"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","25433V105","DIMENSION THERAPEUTICS INC","COM","","60886","5397698"
